index,Label,brand,name,price,rank,ingredients,Combination,Dry,Full,Light,Matte,Medium,Natural,Normal,Oily,Radiant,Sensitive,X,Y
58,Moisturizer_Combination,SON & PARK,Beauty Water,30,4.6,"-Papaya Extract: Renews skin's surface by lifting impurities and dead skin cells for brighter, smoother skin.
-Green Tea: Powerful antioxidant to prevent premature aging and anti-inflammatory properties that soothe irritated skin.
-Rose Flower Water, Orange Fruit Extract, and Lavender Water: Provide intense hydration.

Water, Rosa Damascena Flower Water, Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol, Propanediol, PEG-7 Caprylic/Capric Glycerides, Pentylene Glycol, Citrus Aurantium Dulcis (Orange) Fruit Extract, Xylitol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Olea Europaea (Olive) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Grandis (Grapefruit) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Cedrus Atlantica Bark Oil, Pelargonium Graveolens Flower Oil, Carica Papaya (Papaya) Fruit Water, Jasminum Officinale (Jasmine) Oil, Illicium Verum (Anise) Fruit/Seed Oil, Artemisia Absinthium Extract, Rose Flower Oil, Ferula Galbaniflua (Galbanum) Resin Oil, Thuja Occidentalis Leaf Extract, Eucalyptus Globulus Leaf Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melissa Officinalis Leaf (Green Tea) Extract , Mentha Piperita(Peppermint) Leaf Extract, Mentha Rotundifolia Leaf Extract, Mentha Spicata Flower/Leaf/Stem Extract, Origanum Majorana Leaf Extract, Origanum Vulgare Leaf Extract, Pelargonium Graveolens Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Thymus Vulgaris (Thyme) Leaf Extract, Glycerin, Decyl Glucoside, 1,2-Hexanediol, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Sodium Chloride, Ethylhexylglycerin, Sodium Citrate, Citric Acid, Octanediol, Copaifera Officinalis (Balsam Copaiba) Resin, Protease, Alcohol Denat., Alcohol, Phenoxyethanol.",1,1,0,0,0,0,0,1,1,0,1,-23.288258,44.0869
59,Moisturizer_Combination,TATCHA,The Silk Cream,120,4.3,"-Advanced Silk Extract (Serecin and Fibroin Proteins): Acts as a protective veil of hydration like a second skin, holding in essential moisture and strengthening the skin’s barrier function without weighing it down or clogging pores—revealing a lustrous glow.
-Akoya Pearl Extract: Helps support the natural metabolism of collagen and elastin to reduce the look of fine lines and wrinkles for visibly smoother, firmer skin.
-Tatcha's Signature Hadasei-3: Restores a healthy-looking, youthful radiance with nourishing green tea, rice, and algae.

Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Glycerin, Propanediol, Cyclopentasiloxane, Squalane, Isononyl Isononanoate, Inositol, Sericin, Hydrolyzed Silk, Hydrolyzed Conchiolin Protein, Rubus Ellipticus Root Extract, Oryza Sativa (Rice) Germ Oil, Panax Ginseng Root Extract, Royal Jelly Extract, Thymus Serpyllum Extract, Caprylic/Capric Triglyceride, Sorbitan Stearate, Behenyl Alcohol, Stearic Acid, Hydrogenated Lecithin, Polyglyceryl-2 Triisostearate, Batyl Alcohol, Ethylhexylglycerin, Arginine, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Carbomer, Xanthan Gum, Biosaccharide Gum-1, Sodium Hyaluronate, Parfum/Fragrance, Butylene Glycol, Alcohol, Phenoxyethanol. *Hadasei-3.",1,1,0,0,0,0,0,1,0,0,1,-49.88113,-35.18182
60,Moisturizer_Combination,OLEHENRIKSEN,C-Rush™ Brightening Gel Crème,44,4.6,"Sources of vitamin C:
-Ascorbic Acid: Pure vitamin C, Ole’s ""gold standard""e; for addressing visible signs of aging.
-3-O-Ethyl Ascorbic Acid: A form of vitamin C that is proven to be stable against oxidation and light degradation; helps maintain stability of ascorbic acid.
-Tetrahexyldecyl Ascorbate: A stable form of vitamin C that is known for its antioxidant benefits.
-Rose of Winter: Rich in antioxidants to help nourish and condition skin.

Water, Glycerin, Dicaprylyl Carbonate, Propanediol, Caprylic/Capric Triglyceride, 3-O-Ethyl Ascorbic Acid, Glycereth-26, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Hydrolyzed Jojoba Esters, Cetearyl Alcohol, Polyacrylate Crosspolymer-6, Hydroxyacetophenone, Panthenol, Polyglyceryl-3 Methylglucose Distearate, Tetrahexyldecyl Ascorbate, Linoleic Acid, Citric Acid, Phenoxyethanol, Fragrance, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Xanthan Gum, Cetearyl Glucoside, Linolenic Acid, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Hippophae Rhamnoides Extract, Lycium Barbarum Fruit Extract, Rosa Canina Fruit Extract, Ethylhexylglycerin, Leuconostoc/Radish Root Ferment Filtrate, Sodium Citrate, Camellia Japonica Flower Extract, Aroma/Flavor, Sodium Hyaluronate, Sodium Polyacrylate, Sodium Phytate, Hyaluronic Acid, Vegetable Collagen, Ascorbic Acid, Tocopherol, Yellow 6 (Ci 15985), Yellow 5 (Ci 19140), Citral, Limonene, Linalool, Benzyl Alcohol.",1,1,0,0,0,0,0,1,1,0,1,15.350843,-70.12462
61,Moisturizer_Combination,AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,60,4.0,"-Ethylhexyl Methoxycinnamate: 7%
-Titanium Dioxide: 4.15%
-Zinc Oxide: 9.8%

Phyllostachis Bambusoides Juice, Cyclopentasiloxane, Cyclohexasiloxane, Peg-10 Dimethicone, Phenyl Trimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Alcohol, Arbutin, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Polyhydroxystearic Acid, Sodium Chloride, Polymethyl Methacrylate, Aluminium Hydroxide, Stearic Acid, Disteardimonium Hectorite, Triethoxycaprylylsilane, Ethylhexyl Palmitate, Lecithin, Isostearic Acid, Isopropyl Palmitate, Phenoxyethanol, Polyglyceryl-3 Polyricinoleate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Disodium Edta, Trimethylsiloxysilicate, Ethylhexyglycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Water, Silica, Camellia Japonica Seed Oil, Camillia Sinensis Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Fragrance, Titanium Dioxide, Iron Oxides (Ci 77492, Ci 77491, Ci77499).",1,1,0,0,0,0,0,1,1,0,1,-0.26080653,101.60122
62,Moisturizer_Combination,BOBBI BROWN,Vitamin Enriched Face Base Priming Moisturizer,60,4.5,"Water, Cyclopentasiloxane, Bis-Diglyceryl Polyacyladipate-2, Butylene Glycol, Ppg-2 Myristyl Ether Propionate, Cetyl Alcohol, Peg-40 Stearate, Butyrospermum Parkii (Shea Butter), Squalane, Glyceryl Stearate, Sorbitan Stearate, Epilobium Angustifolium Extract, Yeast Extract/Faex/Extrait De Levure, Beta-Carotene, Sodium Hyaluronate, Citrus Grandis (Grapefruit) Peel Oil, Tocopheryl Acetate, Methyl Glucose Sesquistearate, Pelargonium Graveolens (Geranium) Flower Oil, Dimethicone Crosspolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Peg-20 Methyl Glucose Sesquistearate, C12-15 Alkyl Ethylhexanoate, Tetrasodium Edta, Sodium Hydroxide, Panthenol, Magnesium Ascorbyl Phosphate, Limonene, Citronellol, Geraniol, Linalool, Chlorphenesin, Phenoxyethanol",1,0,0,0,0,0,0,1,1,0,0,10.507753,-43.85917
63,Moisturizer_Combination,DR. JART+,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,52,4.2,"-Centella Asiatica Complex (Madecassoside, Madeecassic Acid, Asiaticoside and Asiatic Acid): Helps protect skin from stress.
-Herbs Complex (Houttuynia Cordata and Ressurrection Plant): Enhances skin’s viability.
-Minerals Solution and Panthenol: Soothes skin and restores moisture.
-Raspberry Leaf Extract: Helps reduce the look of inflammation.

Water, Centella Asiatica Leaf Water, Isononyl Isononanoate, Cyclopentasiloxane, Butylene Glycol, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Beeswax/Cire D'abeille, Glycerin, Diethylhexyl Carbonate, Polyglyceryl-3 Polyricinoleate, Niacinamide, Polymethylsilsesquioxane, Cyclohexasiloxane, Pan-Thenol, Diglycerin, Iron Oxides, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Dimethicone/Vinyl Dimethi- Cone Crosspolymer, Isododecane, Ethylene/Methacrylate Copolymer, Cetearyl Alcohol, Polyglyceryl-2 Triisostearate, Aluminum Hydroxide, Stearic Acid, Disteardimonium Hectorite, Acrylates/Ammonium Methacrylate Copolymer, Sclerotium Gum, Sodium Benzoate, Acrylates/Dimethicone Copolymer, Hydrogen Dimethicone, Chromium Oxide Greens, Triethyl Citrate, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, BHT, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Boron Nitride, Asiatic Acid, Madecassic Acid, Citrus Grandis (Grapefruit) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Propanediol, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Polysorbate 20, Aniba Rosodora (Rosewood) Wood Oil, Sodium Glycerophosphate, Selaginella Lepidophylla Extract, Potassium Magnesium Aspartate, Citric Acid, Calcium Gluconate, Madecassoside, Magnesium Gluconate, Centella Asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide.",1,1,0,0,0,0,0,1,1,0,1,-26.31002,73.92491
64,Moisturizer_Combination,CAUDALIE,Vinosource Moisturizing Sorbet,39,4.2,"-Organic Grape Water: Moisturizes.
-Grape Seed Polyphenols: Protect with antioxidants.
-Vinolevure®: Strengthens and moisturizes.
-Chamomile: Calms and soothes.

Water, Vitis Vinifera (Grape) Fruit Water*, Dicaprylyl Ether*, Glycerin*, Butyrospermum Parkii (Shea Butter) Extract*, Hexyldecanol*, Hexyldecyl Laurate*, Behenyl Alcohol*, Glyceryl Stearate*, Erythritol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum (Fragrance), Tocopherol*, Lecithin*, Caprylyl Glycol, Mannitol*, Sodium Benzoate, Xanthan Gum, Palmitoyl Grape Seed Extract*, Vitis Vinifera (Grape) Juice*, Sodium Hydroxide, Glycine Soja (Soybean) Sterols*, Butylene Glycol, Sodium Citrate, Citric Acid, Chamomilla Recutita (Matricaria) Flower Extract*, Sodium Carboxymethyl Betaglucan, Sodium Phytate*, Potassium Sorbate, Biosaccharide Gum-1, Sodium Hyaluronate, Homarine Hcl, Glyceryl Caprylate*, Acetyl Tetrapeptide-15. *Plant origin.",1,1,0,0,0,0,0,1,1,0,1,-67.1091,-31.199368
65,Moisturizer_Combination,HERBIVORE,Lapis Oil Balancing Facial Oil,72,4.4,"-Blue Tansy: Reduces redness and clarifies the complexion without drying; contains anti-inflammatory and antibacterial properties.
-Plant-based Squalane: Acts as a natural protective barrier to keep moisture in the skin, while protecting skin from hyper-pigmentation and premature aging.
-Kukui Nut Oil: Balances sebum and oil production in oilier and blemish-prone skin types with high levels of linoleic acid; provides hydration and nourishmen.
-Jojoba Oil: Moisturizes.

Amaranthus Squalane Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Capric Triglycerides (Fractionated Coconut Oil), Aleurites Moluccana (Kukui) Nut Oil, Tocopherol (Vitamin E), Tanacetum Annuum (Blue Tansy) Leaf Oil, Jasminum Sambac (Jasmine) Absolute, Rosa Damascena (Moroccan Rose) Absolute.",1,0,0,0,0,0,0,1,1,0,0,8.226026,-23.664536
66,Moisturizer_Combination,ERBORIAN,CC Crème High Definition Radiance Face Cream Skin Perfector,44,4.1,"-Ethylhexyl methoxycinnamate / Octinoxate, Ethylhexyl salicylate/octisalate, Titanium dioxide, Zinc oxide: Sunscreens.

Water, Cyclomethicone, Dipropylene Glycol, Glycerin, Peg-10 Dimethicone, Methyl Trimethicone, C12-15 Alkyl Benzoate, Dimethicone, Ci 77492/Iron Oxides, Disteardimonium Hectorite, Magnesium Sulfate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Centella Asiatica Extract, Mel/Honey Extract, Mica, Talc, Trihydroxystearin, Butylene Glycol, Polyester-1, Aluminum Hydroxide, Silica Dimethyl Silylate, Palmitic Acid, Stearic Acid, Tocopheryl Acetate, Ethylhexylglycerin, Phenoxyethanol, Methicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Fragrance, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Linalool, Citronellol, Geraniol, Eugenol, Limonene, Ci 77491/Iron Oxides, Ci 77499/Iron Oxides.",1,1,0,0,0,0,0,1,1,0,1,-15.0108385,-118.026245
68,Moisturizer_Combination,SUNDAY RILEY,C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer,65,4.1,"-Vitamin C (5% THD Ascorbate): Prevents and repairs the visible signs of premature skin aging, while being significantly less irritating than other forms of vitamin C, like L-ascorbic acid; brightens the appearance of the skin, provides antioxidant support, and fights the look of damage caused by environmental exposure.
-Lime Pearl Extract: Natural source of AHA for gentle skin retexturization, allowing the vitamin C to sink in.
-Bisabolol (Derived from Chamomile): Helps to calm the look and feel of redness for visibly less reactive skin.
-Exopolysaccharides: Help protect the skin from the visible effects of pollution exposure, specifically PM 2.5 (the micropollution particles found in smog).

Water, Squalane, Tetrahexyldecyl Ascorbate (Vitamin C), Dicaprylyl Carbonate, C10-18 Triglycerides, PEG-8 Beeswax, Hydrogenated Vegetable Oil, Tapioca Starch, PPG-12 SMDI Copolymer, Polyglyceryl-6 Distearate, Jojoba Esters, Cetyl Alcohol, Sodium Acrylates Copolymer, Polyglyceryl-3 Beeswax, Lecithin, Glycerin, Microcitrus Australasica Fruit (Lime Pearl) Extract, Butylene Glycol, Alteromonas Ferment Extract (Exopolysaccharides), Phenoxyethanol, Terminalia Ferdinandiana Fruit (Kakadu Plum) Extract, Bisabolol, Chlorphenesin, Caprylyl Glycol, Polymethylsilsesquioxane, Nylon-12, Citrus Reticulata (Tangerine) Peel Oil, Citric Acid, Sodium Phytate, Tocopherol, Sodium Hyaluronate, Fragrance, Rosa Centifolia Flower Wax, Rosa Damascena Flower Wax, Alcohol Denat (found in botanical extracts), Caprylic/Capric Triglyceride, Curcuma Longa (Turmeric) Root Extract, Citrus Junos Fruit (Yuzu) Extract, Lippia Citriodora Flower (Lemon Verbena) Extract, Euterpe Oleracea (Acai) Fruit, Butyrospermum Parkii (Shea) Butter Extract, Rosa Canina Fruit (Rosehips)Extract, Oenothera Biennis (Evening Primrose) Seed Extract, Camellia Sinensis Leaf (Oolong Tea).",1,1,0,0,0,0,0,1,1,0,1,65.359436,93.77814
70,Moisturizer_Combination,IT COSMETICS,Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,38,3.9,"-Collagen: Supports skin elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for the look of smoother, firmer skin.
-Niacin: Promotes a more even appearance and helps combat the look of blemishes and hyperpigmentation.
-Antioxidants: Reduce and protect against free radical damage, which can cause skin inflammation and aging.

Water, Snail Secretion Filtrate, Titanium Dioxide, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Zinc Oxide, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl Peg/Ppg-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Perfluorohexane, Olea Europaea (Olive) Leaf Extract, Glycerin, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20, Hydrolyzed Hyaluronic Acid, Colloidal Oatmeal, Hydrolyzed Silk, Citric Acid, Sodium Benzoate, Potassium Sorbate, Aloe Barbadensis Leaf Extract, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin, Ascorbic Acid, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. [+/-: Mica (Ci 77019), Iron Oxides (Ci 77492, Ci 77491, Ci 77499)].",1,1,1,0,0,0,0,1,1,1,1,253.73138,-197.9568
71,Moisturizer_Combination,TATCHA,Luminous Dewy Skin Night Concentrate,110,4.5,"-Okinawa Red Algae: Visibly improves skin’s moisture barrier and assists the skin’s natural moisture-retaining capabilities with its rich source of natural polysaccharides.
-Squalane: Absorbs effortlessly into the skin for nourishing moisturization.
-Tatcha's Signature Hadasei-3 (Green Tea, Rice, and Algae): Restores a healthy-looking, youthful radiance.

Water, Glycerin, Propanediol, Squalane, Cyclopentasiloxane, Triethylhexanoin, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Ziziphus Jujuba Fruit Extract, Thymus Serpyllum Extract, Royal Jelly Extract, Stearyl Glycyrrhetinate, Camellia Sinensis Leaf Extract, Algae Extract, Scutellaria Baicalensis Root Extract, Oryza Sativa (Rice) Germ Oil, Camellia Japonica Seed Oil, Sericin, Inositol, Glyceryl Stearate Se, Polyglyceryl-2 Diisostearate, Ppg-5-Ceteth-10 Phosphate, Sodium Lauroyl Lactylate, Sorbitan Stearate, Trideceth-12, Ethylhexylglycerin, Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Butylene Glycol, Behenyl Alcohol, Parfum/Fragrance, Alcohol, Phenoxyethanol.",1,1,0,0,0,0,0,1,0,0,1,7.672843,65.34916
72,Moisturizer_Combination,GLAMGLOW,GLOWSTARTER™ Mega Illuminating Moisturizer,49,4.0,"Water, Dimethicone, Butylene Glycol, Cetyl Ricinoleate, Trisiloxane, Glyceryl Stearate Se, Glyceryl Stearate, Peg-100 Stearate, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Cetyl Esters, Cetyl Alcohol, Glycerin, Tocopheryl Acetate, Sodium Hyaluronate, Algae Extract, Camellia Sinensis (Green Tea) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Saccharomyces Lysate Extract, Scutellaria Baicalensis Root Extract, Caffeine, Cholesterol, Ceramide Ng, Isohexadecane, Synthetic Fluorphlogopite, Tin Oxide, Sucrose, Panthenol, Polysorbate 80, Xanthan Gum, Caprylyl Glycol, Hexylene Glycol, Citric Acid, Linoleic Acid, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Magnesium Ascorbyl Phosphate, Fragrance, Citral, Linalool, Limonene, Disodium Edta, Sodium Citrate, Phenoxyethanol, [+/- Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Red 4 (Ci 14700), Yellow 5 (Ci 19140), Iron Oxides (Ci 77499), Iron Oxides (Ci 77492)]",1,1,0,0,0,0,0,1,1,0,0,27.030169,-57.91563
74,Moisturizer_Combination,DR. JART+,Ceramidin™ Cream,48,4.6,"-5-Cera Complex: Thoroughly moisturizes and strengthens skin.
-Bifida Ferment Lysate, Beetroot, and Hyaluronic Acid: Keep skin moisturized.

Water, Glycerin, Dipropylene Glycol, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Methyl Trimethicone, 1, 2-Hexanediol, Bifida Ferment Lysate, Phenyl Trimethicone, Vegetable Oil, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate SE, Ceramide NP, Stearic Acid, Algae Extract, Eclipta Prostrata Leaf Extract, Cetearyl Glucoside, Hydrogenated Lecithin, Microcrystalline Cellulose, Butylene Glycol, C12-16 Alcohols, Ammonium Acryloyldimethyltaurate/VP Copolymer, Malt Extract, Beta Vulgaris (Beet) Root Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Throbroma Caco (Cocoa) Seed Extract, Curuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Amaranthus Caudatus Seed Extract, Ulmus Davidiana Root Extract, Avena Sativa (Oat) Kernel Extract, Cynara Scolymus (Artichoke) Leaf Extract, Pteris Multifida Extract, Artemisia Vulgaris Extract, Corallina Officinalis Extract, Pyracantha Fortuneana Fruit Extract, Glycerly Polymethacrylate, Cholesterol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hydrolyzed Corn Starch, Sodium Hyaluronate, Pelargonium Graveolens Flower Oil, Fructooligosaccharides, Beta-Glucan, Dextrin, Disodium EDTA, Panthenol, Polyquaternium-51, Raffinose, Hydrolyzed Hyaluronic Acid, Folic Acid, Salvia Officinalis (Sage) Oil, Pogostemon Cablin Oil, Tromethamine, Ceramide AP, Ceramide AS, Ceramide NS, Palmitoyl Pentapeptide-4, Ceramide EOP.",1,1,0,0,0,0,0,1,0,0,1,-81.42401,64.51046
77,Moisturizer_Combination,LANEIGE,BB Cushion Hydra Radiance SPF 50,38,4.3,"-Octinoxate 7%
-Titanium Dioxide 4.15%
-Zinc Oxide 9.8%

Water, Cyclopentasiloxane, Zinc Oxide (CI 77947), Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Cyclohexasiloxane, Phenyl Trimethicone, Iron Oxides (CI 77492), Butylene Glycol Dicaprylate/Dicaprate, Niacinamide, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Titanium Dioxide (CI 77891 , Iron Oxides (CI 77491), Butylene Glycol, Sodium Chloride, Iron Oxides (CI 77499), Aluminum Hydroxide, HDI/Trimethylol Hexyllactone Crosspolymer, Stearic Acid, Methyl Methacrylate Crosspolymer, Triethoxycaprylylsilane, Phenoxyethanol, Fragrance, Disteardimonium Hectorite, Caprylyl Glycol, Yeast Extract, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Trimethylsiloxysilicate, Polysorbate 80, Disodium EDTA, Hydrogenated Lecithin, Dimethicone/Vinyl Dimethicone Crosspolymer, Mica (CI 77019), Silica, 1,2-Hexanediol, Polypropylsilsesquioxane, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Camellia Sinensis Leaf Extract, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside.",1,1,0,0,0,0,0,1,1,0,1,-0.8624212,112.80624
78,Moisturizer_Combination,AMOREPACIFIC,FUTURE RESPONSE Age Defense Creme,195,4.4,"-Rare Pine Mushroom (only grown in the wild): Defends against harmful environmental aggressors like sun overexposure and pollution.
-Hand Cultivated Green Tea: Offers superior antioxidant protection.
-AB12 Complex (12 potent Asian botanicals): Works to soothe skin irritated by harmful environmental factors.

Camellia Sinensis Leaf Water, Butylene Glycol, Dicaprylyl Carbonate, Caprylic/Capric Triglyceride, Glycerin, Water, Butyrospermum Parkii (Shea) Butter, Alcohol, Behenyl Alcohol, Hydrogenated Poly(C6-14 Olefin), Arachidyl Alcohol, Pentaerythrityl Tetraisostearate, Pentaerythrityl Tetraethylhexanoate, Dimethicone, Mangifera Indica (Mango) Seed Butter, Hydrogenated Polydecene, Tricholoma Matsutake Extract, Camellia Sinensis Leaf Extract, Sodium Hyaluronate, Punica Granatum Extract, Opuntia Coccinellifera Fruit Extract, Iris Florentina Root Extract, Lagerstroemia Indica Flower Extract, Gossypium Herbaceum (Cotton) Extract, Centella Asiatica Extract, Oryza Sativa (Rice) Germ Extract, Zingiber Officinale (Ginger) Root Extract, Glycine Soja (Soybean) Seed Extract, Magnolia Obovata Bark Extract, Nelumbo Nucifera Flower Extract, Camellia Sinensis Leaf Powder, Theanine, Epigallocatechin Gallate, Sorbitol, Beta-Glucan, Trisiloxane, Arachidyl Glucoside, Polyacrylate-13, Propanediol, Cyclopentasiloxane, Dimethiconol, Polyisobutene, Carbomer, Glyceryl Stearate, Peg-100 Stearate, Polysorbate 20, 1,2-Hexanediol, Caprylyl Glycol, Polyglutamic Acid, Kaolin, Ethylhexylglycerin, Triethanolamine, Disodium Edta, Phenoxyethanol, Fragrance.",1,1,0,0,0,0,0,1,1,0,1,64.23407,55.649204
79,Moisturizer_Combination,GLAMGLOW,THIRSTYMUD™ Hydrating Treatment,59,4.3,"Water, Caprylic/Capric Triglyceride, Glycerin, Butylene Glycol, Cyclopentasiloxane, Glyceryl Polymethacrylate, Pyrus Malus (Apple) Fruit Extract, Peg-8, Glyceryl Stearate, Peg-100 Stearate, Cetearyl Alcohol, Sodium Polyacryloyldimethyl Taurate, Saccharide Isomerate, Caprylyl Glycol, Olea Europaea (Olive) Leaf Powder, Avena Sativa (Oat) Bran Extract, Hydrogenated Polydecene, Polysorbate 60, Cetyl Alcohol, Zingiber Officinale (Ginger) Root Extract, Menthoxypropanediol, Honey/Mel/Miel, Aminomethyl Propanol, Camellia Sinensis (Green Tea) Leaf Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Tocopheryl Acetate, Allantoin, Kaolin, Hexylene Glycol, Buteth-3, Trideceth-10, Benzophenone-4, Sodium Benzotriazolyl Butylphenol Sulfonate, Cocos Nucifera (Coconut) Fruit Extract, Sodium Hyaluronate, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Fragrance, Coumarin, Linalool, Tetrahexyldecyl Ascorbate, Disodium Edta, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol",1,1,0,0,0,0,0,1,1,0,0,89.5548,-22.842619
